pays;nom;Capitale;description;bons plans;prix de l'hébergement;coût de la vie;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre;latitude;longitude;nb de jours conseillés
Argentine;Mendoza;;;;8;14;3;3;3;3;3;2;2;2;3;3;3;3;-32.894094;-68.830169;
Argentine;El Calafate (glacier Perito Moreno);;"El Calafate est sans nul doute l'une des plus grandes villes de la région. Elle a rapidement prospéré grâce au glacier Perito Moreno qui attire chaque année de nombreux visiteurs.
Ce glacier, situé à 80km de la ville, est exceptionnel : 30km de long, 5km de large et jusqu'à 70m de haut ! L'observation depuis les passerelles permet de s'approcher à une centaine de mètres pour écouter les craquements réguliers et voir des pans de glace entiers s'effondrer dans le lac. Emerveillement garanti !
El Calafate est aussi l'occasion de se ressourcer après les nombreux kilomètres parcourus sur les routes désertes de patagonie. La ville possède de nombreux bars et restaurants, ainsi que quelques musées. La lagune abrite de nombreux flamants roses en été.";"> Aller voir le glacier Perito Moreno. Y aller le plus tôt possible pour éviter la foule, le parc ouvre à 8h.
> Se balader dans la réserve écologique ""Laguna Nimez"" pour observer les oiseaux (notamment des flamants roses).
> Déguster un barbecue ""Cordero"", un plat typique de la région.
> Si le budget le permet, aller visiter une estancia pour découvrir le mode de vie des habitants.";18;20;2;1;1;1;0;0;0;0;0;0;0;1;-50.339593;-72.265613;
Argentine;El Chaltén (Mont Fitz Roy);;"Nichée dans le cœur de la Patagonie, dans le nord du parc national ""Los Glaciares"", El Chaltén est une petite ville pleine de couleurs. Fondée en 1985 pour consolider la présence argentine dans cette région disputée par le Chili, la ville vit au rythme des saisons. L'hiver, la grande majorité des hôtels et des auberges est fermée, en revanche en été, ils sont pleins de nombreuses semaines à l'avance !
Capitale nationale du trecking, El Chaltén accueille chaque année des milliers de randonneurs et d'alpinistes venus admirer le mont Fitz Roy (voir photo), même si son sommet est souvent pris dans les nuages. De nombreux autres sentiers permettent de partir la journée (ou sur plusieurs jours) pour admirer les glaciers et les condors. Passer quelques jours à El Chaltén est un incontournable de la Patagonie : c'est le paradis des randonneurs !";"> Admirer le mont Fitz Roy au terme des 10km de marche et espérer tout le trajet que les nuages laissent l'apercevoir en entier.
> Essayer de voir des condors, des tatous, des cerfs des Andes ou encore des pumas sur l'un des nombreux sentiers du parc national.
> Camper gratuitement au pied du Fitz Roy et profiter de l'eau des rivières (potable).
> Penser à réserver son logement longtemps à l'avance pendant les mois d'été (janvier et février).
> Faire des provisions de carburant et de nourriture dans les (rares) villes voisines, car les prix pratiqués sur place sont exorbitants.";17;14;2;2;1;1;1;0;0;0;1;2;1;1;-49.331716;-72.886405;
Argentine;Salta;;;;12;;2;2;2;3;3;3;2;3;3;3;3;2;-24.788710;-65.410140;
Argentine;Ushuaia;;"Découverte par Magellan en 1520, les navigateurs espagnols baptisèrent la région ""Terre de Feu"" car ils observèrent du feu et de la fumée sur les côtes. Ushuaïa fut fondée le 12 octobre 1884. La ville abrita d’abord une prison et les prisonniers devinrent les premiers colons.
Souvent citée comme la plus australe du globe, la petite ville d’Ushuaïa, est très loin des paysages exotiques des pubs pour le savon du même nom...  Située en Antarctique, c'est un lieu incontournable pour les routards en quête d'aventures au bout du monde. On y vient pour observer les manchots, baleines, ainsi que pour ses vastes paysages. En Argentine, elle diffère grandement du reste du pays. Attention, la température est froide en été comme en hiver !";"> Partir en randonnée sur les chemins du parc national Tierra del Fuego.
> Se rendre à l'office du tourisme pour faire tamponner gratuitement son passeport avec un tampon original.
> Faire une croisière sur le canal de Beagle.
> Regarder les magnifiques couchers de soleil.";21;23;1;1;1;1;0;0;0;0;0;1;1;1;-54.8060457;-68.3002905;
Australie;Melbourne;;;"> le mercredi soir, aller au Victoria market écouter un concert live tout en dégustant des spécialités locales.
> Boire un cocktail inventif dans un bar situé sur les toits (Brunswick Street).
> Observer les kangorous, wallaby, koala et pingouins sur la Philip Island (en dehors de Melbourne).
> Découvrir les meilleurs crus d'Australie en suivant la route des vins de la Yarra Valley";19;41;3;3;3;3;2;2;2;2;2;2;3;3;-37.821068;144.9573438;
Australie;Perth;;;"> Vous promener à Kings' Park et pourquoi pas y organiser un barbecue (à disposition gratuitement).
> Pécher de nuit dans la Swan River pour un moment apaisant.
> La nuit, aller boire un verre dans le quartier animé de Northbridge.
> S'émerveiller devant les plages magnifiques de Cottesloe ou Scarborough (idéal pour s'initier au surf).
> Le weekend, déambuler dans le marché de Freemantle et en profiter pour y manger un fish and chips
> à 160km au nord, s'étonner des Pinnacles dresser en plein désert. L'occasion aussi de s'essayer au sandsurf sur les dunes de sable";19;38;3;3;2;2;2;1;1;1;3;3;3;3;-31.960906;115.8300042;
Australie;Sydney;;"Habitée depuis déjà plusieurs millénaires par les aborigènes, c'est ici qu'en  1788 s'établit la première colonie britannique. A l'origine fondée en tant que colonie pénitentiaire, la ville prendra de l'ampleur après la découverte de gisements d'or dans l'état voisin. Base navale et aérienne des alliés durant la seconde guerre mondiale, elle devint par la suite le centre économique et financier d'Australie.
Aujourd'hui Sydney est la ville la plus cosmopolite et la plus peuplée d'Océanie. Construite autour d'une des plus belles baies du monde, elle est riche en beautés naturelles, en musées et en activités en tout genre.
Partez à la rencontre du fameux ""layback"", art de vivre privilégié des Australiens, et découvrez pourquoi Sydney est devenue l'emblème de l'Australie.";"> Grimper en haut du plus haut pont de Sydney.
> Cotoyer les baleines en pleine mer.
> Musarder sur le marché paysan et goûter de bons produits locaux (eveleigh market, chaque samedi).
> Affronter son vertige en marchant dans le vide du haut de la tour de Sydney.
> Visiter l'emblématique opéra de Sydney tôt le matin (visite guidée toutes les 1/2h).";19;40;3;3;2;2;2;1;1;1;3;3;3;3;-33.8568935;151.2151438;
Autriche;Vienne;oui;"Fondée par les Celtes, au VIème siècle avant JC, Vienne fut occupée par les Romains. Au cours du moyen âge la ville devient la capitale du Saint-Empire romain germanique. Assiégé par les Ottomans, occupée par Napoléon puis annexée par l’Allemagne Nazie, la capitale Autrichienne retrouve son indépendance en 1955.
Cette ancienne capitale impériale abrite de nombreux palais : Hofburg, palais impérial et résidence de la dynastie des Habsbourg pendant plus de six siècles, Schönbrunn, le ""Versailles autrichien"" qui abrite un zoo et un parc magnifique (photo ci-dessus), ou encore le Belvédère qui est l’un des plus grands palais baroques de Vienne.
Réputée pour sa qualité de vie, Vienne est l’une des capitales culturelles de l’Europe. La ville est devenue une cité cosmopolite où tradition et innovation se côtoient : baroque et art nouveau, Valse et Techno ou encore café Viennois et vin. En  2015 Vienne a été reconnue comme la ville la plus agréable à vivre  au monde !";"> Marcher dans la ville et apprécier son architecture flamboyante.
> Prendre un cours de valse dans l'une des écoles de danse de la ville.
> L'été, profiter des concerts / ballet gratuits en plein air sur la place de l'hôtel de ville.
> L'hiver, assister à l'un des nombreux bals
> Se rendre sur les tombes de Beethoven, Schubert, Brahms, Strauss, Schönberg, Stolz au cimetière de Zentralfriedhof.
> Déguster un café Viennois et une torte dans le café Sacher.";17;49;0;0;0;1;2;3;3;3;3;1;1;0;48.2080183;16.3662545;
Belgique;Bruxelles;oui;;"> Manger une gaufre liégoise, bien chaude, moelleuse et sucrée, chez Dandoy
> Admirer la grande place, de jour comme de nuit.
> Faire un tour dans les marolles le dimanche matin pour voir son célèbre marché aux puces
> Aller voir le Manneken Pis, symbole de la ville.
> Flâner dans les élégantes galeries Saint-Hubert.
> Marcher sous la structure de l’Iceberg qui émet des sons et lumières quand on passe chacun de ces arceaux";23;46;0;1;1;1;1;3;3;3;3;1;1;1;50.8439026;4.3469415;
Belize;Belmopan;oui;;;15;35;2;3;3;3;1;1;1;0;0;0;1;1;17.4719143;-88.2499659;
Birmanie;Mandalay;;;"> Découvrir autour de la pagode Mahamuni les différents artisanats (sculture de bouddha, fabrication de feuille d'or ...).
> Admirer le pont U Bein, plus long pont en teck du monde (1,2 km), où vont et viennent les moines.
> Visiter la stupa inachevée ""paya de Mingun"" où l'on se rend en bateau depuis Mandalay.
> Passer par Monywa, peu connu, où entouré de singes, vous admirerez les grottes de Hpo Win Daung.
> S'arréter à Kyaukmyaung, village de potier au bord du fleuve.
";13;19;3;3;3;1;0;1;2;3;3;2;3;3;21.9928622;96.0854468;
Birmanie;Rangoon;oui;;;13;10;3;3;3;1;1;0;0;0;0;0;2;3;16.798438;96.148913;
Bolivie;La Paz;;"Fondée en 1548 dans la vallée de Chuquiago Marka, La Paz culmine à 3600m d'altitude, ce qui en fait la capitale la plus haute du monde ! Capitale administrative du pays, la ville s'étend sur plus de 1000 mètres de dénivelé. C'est l'une des rares villes au monde ou les pauvres habitent sur les hauteurs et les riches en bas.
Seule la rue Jaen a conservé son aspect colonial. Allez flâner dans les marchés de la ville, perdez-vous dans les ruelles, et n'oubliez pas de tester les ""comedor"", sorte de cantines populaires où vous pourrez rencontrer les Pacéniens.
Culturellement, la ville possède de nombreux musées. Le musée d'ethnographie et de Folklore vous en apprendra plus sur la vie et les coutumes de deux groupes ethniques boliviens, les Ayoreos et les Chipayas, tandis que le musée national d'Archéologie Tiwanaku vous montrera des vestiges de la période précolombienne.
La Paz mérite le détour, mais elle demande du temps à ses visiteurs, non seulement pour s'acclimater à l'altitude mais aussi pour découvrir les multiples facettes de la ville.";"> Se rendre à la place Murillo où est érigé le palais législatif, et à la place San Francisco abritant la cathédrale.
> Apprécier l'architecture des belles maisons coloniales de la calle Jaen.
> Parcourir les marchés artisanaux de la calle Sagarnaga ou le marché de la sorcellerie.
> Profiter de l'animation de l'Avenida del sol.";8;15;1;1;1;1;1;1;1;1;1;1;1;1;-16.4955017;-68.134689;3
Bolivie;Potosi;;;> Ne manquez pas la visite guidée en français de la maison de la monnaie, l'un des plus gros centre où la monnaie était frappée pour la couronne d'Espagne.;8;12;0;1;1;2;3;3;2;2;2;2;1;0;-19.589006;-65.753668;1
Bolivie;Sucre;;;> Admirer la vue sur la ville depuis le mirador de la Recoleta;8;9;1;1;2;2;3;3;3;3;3;2;2;1;-19.047879;-65.259602;2
Bolivie;Salar d'Uyuni;;;> Admirer le lever de soleil sur le plan d'eau sur le Salar d'Uyuni.;18;42;0;1;1;3;3;2;2;1;2;2;1;1;-20.460873;-66.826226;4
Brésil;Rio de Janeiro;;"Découverte par un explorateur portugais en 1502, Rio de Janeiro est d’abord une zone de troc entre les indiens et les européens. Ce n’est qu’en 1700 que de l’or et des joyaux sont découverts à proximité, permettant l’essor de la ville. En 1808, elle devient étonnamment la capitale du royaume du Portugal jusqu’à l’indépendance du Brésil, en 1822.
Ancienne capitale du pays, Rio de Janeiro est un incontournable du Brésil, et même du continent sud-américain. Elle est célèbre pour son éblouissant carnaval, son Christ Rédempteur (Corcovado), ses plages magnifiques et ses matchs de foot. Pourtant elle a encore bien plus à offrir : nuits festives, musées, gastronomie, aventures de plein air… les attraits ne manquent pas.
Ajoutez-y son climat plus que clément, la joie de vivre des ses habitants, ses nombreuses activités  et vous comprendrez pourquoi au moins 5 jours sont nécessaires pour découvrir Rio de Janeiro.";"> Profiter des répétitions des écoles de samba pour un avant-goût du carnaval de Rio à moindre coût. Elles commencent environ 6 mois avant le carnaval.
> Goûter à la vie locale en mangeant un Feijoada dans le quartier haut en couleurs de Santa Teresa.
> Boire une caipirhina dans un café donnant sur la célèbre plage de Copacabana.
> Monter jusqu'au Corcovado ou au pain de sucre (voir photo) pour avoir une vue magnifique sur l'ensemble de la ville.
> Se perdre dans le parc national de Tijuca pour un instant nature ainsi que pour découvrir la faune et flore locales.
> S'installer en haut de la rue Arepana et siroter une noix de coco fraîche en s'émerveillant du coucher de soleil sur la plage d'Ipanema.
> Passer une soirée dans le quartier animé de Lapa pour écouter (ou danser) de la samba.";9;20;2;2;2;3;3;3;3;3;3;3;3;2;-22.922188;-43.168282;
Bulgarie;Sofia;oui;;"> S'offrir une vodka dans l'un des petits bars de la ville
> Déguster un assortiment de viandes et légumes grillés dans une mehana (restaurant traditionnel).
> Aller voir l'église de Boyana, datant du 13ème siècle et classée au patrimoine mondial par l'UNESCO.
> Visiter la cathédrale Alexandre Nevski, une des plus grandes d'Europe, et son marché de souvenirs communistes.";8;30;0;0;1;1;2;3;3;3;3;1;1;0;42.6958001;23.3326573;
Cambodge;Phnom Penh;oui;"Fondée en 1434, Phnom Penh resta un village jusqu'à l'arrivée des colons français. C'est donc au 19ème siècle que ""la perle d'Asie"" s'étendit et acquit son palais royal et ses bâtiments coloniaux. Après cette faste période vinrent les atrocités lorsqu'en 1975, la ville tomba aux mains des Khmers rouges. Elle n'est libérée par les vietnamiens que 4 ans plus tard. Cependant 80% de la population avait déjà péri à cause des privations et de la torture. Le musée Tuol Sieng permet de se rendre compte de l'horreur de cette période.
Aujourd'hui la capitale du Cambodge renaît et est en plein essor. Elle mêle passé et présent, pauvreté absolue et richesse extrême. La mutation en cours en fait une des plus plaisantes capitales d'Asie en devenir.
Entre le charme de ses pagodes, ses marchés grouillant de vie, le musée national rassemblant les plus belles oeuvres Khmers au monde, 2 à 3 jours ne sont pas de trop pour découvrir les attraits de Phnom Penh.";"> Se méler à l'ambiance survoltée de la foule assistant à un combat de boxe Khmer (gratuit les samedis et dimanches devant le studio CTN).
> Donner de son temps pour une association caritative (CHOICE). Départ d'une journée tous les matins.
> S'émerveiler devant la beauté du palais royal.
> Le weekend,  se balader sur le marché de nuit Phsar Reatrey, le long du quai Sisowath.
> Se remettre en forme avec une scéance de sport collective au stade Olympique.
> Accorder un moment de réflexion face aux atrocités vécus sous le règne Khmer avec la visite du musée du génocide.";6;17;3;3;3;2;2;2;1;1;1;2;2;3;11.5644048;104.92994;
Cambodge;Siem Reap;;;"> Voir le levé du jour donné une aura mystique aux temples d'Angkor.
> Faire une balade en remorque pour découvrir les charmes de la campagne alentours (rizières, villages sur piloti...).
> Participer à une bonne cause en prenant un cours de poterie au Centre de la Céramique Khmer. La visite simple est gratuite.
> Sortir du centre ville pour goûter la délicieuse cuisine Khmer.
> ATTENTION:  ne pas quitter les chemins balisés dans la campagne, il reste encore de nombreuses mines.";5;21;3;3;2;1;2;1;1;1;1;2;3;3;13.4124876;103.8662776;
Canada;Montreal;;;"> Flâner dans le superbe Jardin botanique de Montréal, qui ouvre ses portes gratuitement chaque soir à partir de 18 heures.
> En été, profiter du concours international de feux d'artifice pour en prendre plein les yeux.
> Début juillet, assister à l'un des très nombreux concerts gratuits lors du Festival de Jazz.
> Prendre un bon bol d'air pur en allant promener au Parc du Mont Royal  et avoir une vue magnifique sur la ville.
> S'immerger dans une ambiance ""vieux continent"" en flânant dans la vieille ville de Montreal et ses rues pavés.
> Fureter dans le marché ""Jean Talon"", temple des produits frais et artisanaux (goûter le cidre des glaces... un délice).
";15;35;0;0;0;0;1;3;3;3;1;1;0;0;45.5047434;-73.5572577;
Canada;Québec;;"Fondée par les français en 1608 pour devenir la capitale coloniale de la ""Nouvelle-France"", Québec tombe aux mains dans troupes britanniques en 1759. Elle a été la capitale (partagée avec Toronto) du Canada-Uni de 1859 à 1865, ce qui lui vaut le surnom de ""Vieille Capitale "".
De son passé coloniale elle a gardé, outre la langue française, son imposant Château Frontenac, ses charmantes petites rues pavées, sa citadelle en étoile et le marché du vieux port. Ces spécificités lui ont permis d’être inscrite au patrimoine mondial de l’UNESCO. Mais il suffit de sortir des remparts pour voir la ville moderne, avec ses jardins publics potagers devant le parlement, ses murs couverts d’art de rue, ses musées … 
Bien que le Canada soit connu comme une destination hivernale, la ville foisonne d’activités toute l’année, en été, les festivals s’enchainent dans les rues et l’hiver les activités en plein air sont légion.";"> Déambuler dans le quartier historique du petit Champlain, avec ses rues pavées. N'hésitez pas à entrer dans le magasin de gravure sur bois pour voir travailler le sculpteur.
> Visiter l'église Notre Dâme de Québec, la plus vieille paroisse d'Amérique du Nord.
> Participer à une visite guidée de nuit sur l'histoire de la criminalité. Passionant et vraiment enrichissant quant à l'histoire de la ville.
> Pédaler le long de la promenade Samuel de Champlain, le long du Saint Laurent et profiter de la douceur de vivre (surtout le printemps et l'été).
> Découvrir la culture amérindienne au coeur de la réserve Huron Wandate.
> S'impregner de l'histoire de la ville en visitant l'étonnante citadelle de Québec, en forme d'étoile. Apprendre pourquoi un bélier figure sur l'emblème du 22ème régiment.
> S'immerger dans la culture canadienne en allant voir un match de hockey à la patinoire du colisée Pepsi.
";17;36;0;0;0;0;1;3;3;3;1;1;0;0;46.812048;-71.204406;
Canada;Toronto;;;"> N'hésitez pas à acheter le City Pass, avantageux dans cette ville et qui en plus sert de billet coupe-file.
> Monter au sommet de la CN tower en empruntant son ascenseur transparent pour avoir une vue 360° de la ville (inclus dans le CityPass).
> Déambuler dans le Distillery District. Les amateurs de bière pourront y découvrir des bières locals, et les autres profiter de son architecture très mignonne.
> Visiter le Hockey Hall of Fame, typique de la ville.
> Pour les fans du Moyen Age, assister au spectacle ""Medievale Times"". Bon dans le temps assuré";22;30;0;0;0;1;1;3;3;3;3;1;0;0;43.6425696;-79.3873293;
Canada;Vancouver;;;;18;35;0;1;1;1;1;3;3;3;1;1;0;0;49.2694395;-123.2589868;
Chili;Ile de Pâques;;"L'île de Pâques fut habitée par des colons d'origines polynésiennes à partir du 3eme siècle, ils développèrent leur art et leur culture si particuliers entre le 11ème et le 17ème siècle. Découverte par un explorateur néerlandais en 1722, le jour de pâques (d’où son nom), elle fut par la suite rattachée au Chili en 1888.
Aujourd’hui, l’île de Pâques et notamment le parc Rapa Nui sont connus mondialement pour le mystère qui entoure la présence de gigantesques sculptures, les Moai (voir photo). Quelques 900 statues d’ancêtres et 300 plateformes cérémonielles (Ahu) ont été révélées. Cependant, ce ne sont pas les seuls intérêts de cette destination. De nombreux sites d’art rupestre avec des pictogrammes et des pétroglyphes sont visibles. Le village cérémoniel d’Orongo, présentant l’évolution vers un nouveau culte (l’homme oiseau), vaut aussi le détour.
Cette destination augmente le budget voyage mais ses particularités sont uniques au monde. De plus l’impact peut être limité grâce aux astuces ci-dessous.";"> Observer les pétroglyphes marins de Papa Vaka
> Visiter l'ancien centre cérémoniel Pascuan d'Orongo, sur les flancs du volcan Rano Kau.
> S'interroger devant les Moaï (statues de l'île de Pâques) du Ahu Tongariki.
> Bronzer sur le sable blanc de la plage de Anakena bordée de palmiers.
> ATTENTION : les vols pris seuls (sans agence) peuvent constituer un énorme budget. De plus, leurs prix explosent autour de la période du festival Tapiti (début février).
> ASTUCES :
> Préférer le camping plutôt qu'une chambre, c'est plus économique (environ 10euros la nuit).
> Avoir avec soi des pesos chiliens pour payer moins cher et en bonne quantité car il y a seulement 3 distributeurs sur l'île.
> Faire des courses alimentaires sur le continent avant de venir car la nourriture coûte beaucoup plus cher sur l'île.";21;25;2;2;2;1;1;3;3;3;3;3;3;2;-27.0911234;-109.3779564;
